Week_Start_Date,Gas_Price,Ratio,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Month,Quarter,Season,Year,Cases,Lockdown,Population,Unemployment_Rate,Weekly_Inc
2018-11-05,2.753,6.632968640203945,244772,1623565.0,853379.0,770186.0,0.0,11,4,4,2018,0.0,0,9513947,3.6,1235.89650782703
2018-11-12,2.659,5.076967061349598,257084,1305207.0,652992.0,652215.0,1.0,11,4,4,2018,0.0,0,9513947,3.6,1235.89650782703
2018-11-19,2.513,6.2513441295546555,247000,1544082.0,803920.0,740162.0,2.0,11,4,4,2018,0.0,0,9513947,3.6,1235.89650782703
2018-11-26,2.426,5.571163169107409,238452,1328455.0,681371.0,647084.0,3.0,11,4,4,2018,0.0,0,9513947,3.6,1235.89650782703
2018-12-03,2.301,6.233508734835217,250663,1562510.0,831431.0,731079.0,4.0,12,4,1,2018,0.0,0,9513947,4.0,1235.89650782703
2018-12-10,2.361,5.963749116074337,251718,1501183.0,794682.0,706501.0,5.0,12,4,1,2018,0.0,0,9513947,4.0,1235.89650782703
2018-12-17,2.265,5.7762278729535455,252632,1459260.0,791252.0,668008.0,6.0,12,4,1,2018,0.0,0,9513947,4.0,1235.89650782703
2018-12-24,2.219,4.256296251364795,164860,701693.0,422369.0,279324.0,7.0,12,4,1,2018,0.0,0,9513947,4.0,1235.89650782703
2018-12-31,2.125,7.749516352752226,109584,849223.0,463165.0,386058.0,8.0,12,4,1,2018,0.0,0,9513947,4.0,1235.89650782703
2019-01-07,2.118,5.9308710783495355,233607,1385493.0,723023.0,662470.0,9.0,1,1,1,2019,0.0,0,9485403,5.1,1259.5647360025
2019-01-14,2.152,6.032838629021278,242367,1462161.0,756590.0,705571.0,10.0,1,1,1,2019,0.0,0,9485403,5.1,1259.5647360025
2019-01-21,2.186,3.367645772536796,251522,847037.0,445534.0,401503.0,11.0,1,1,1,2019,0.0,0,9485403,5.1,1259.5647360025
2019-01-28,2.139,5.528293988245723,243656,1347002.0,668192.0,678810.0,12.0,1,1,1,2019,0.0,0,9485403,5.1,1259.5647360025
2019-02-04,2.233,6.047310865458117,252479,1526819.0,808055.0,718764.0,13.0,2,1,1,2019,0.0,0,9485403,4.7,1259.5647360025
2019-02-11,2.293,5.6932251505735225,260670,1484053.0,779386.0,704667.0,14.0,2,1,1,2019,0.0,0,9485403,4.7,1259.5647360025
2019-02-18,2.361,4.256344464111062,252543,1074910.0,555501.0,519409.0,15.0,2,1,1,2019,0.0,0,9485403,4.7,1259.5647360025
2019-02-25,2.502,5.079412157930661,284226,1443701.0,762857.0,680844.0,16.0,2,1,1,2019,0.0,0,9485403,4.7,1259.5647360025
2019-03-04,2.468,4.148910569712346,321636,1334439.0,699086.0,635353.0,17.0,3,1,2,2019,0.0,0,9485403,4.4,1259.5647360025
2019-03-11,2.556,5.412466722418408,273833,1482112.0,784354.0,697758.0,18.0,3,1,2,2019,0.0,0,9485403,4.4,1259.5647360025
2019-03-18,2.689,5.537261788137003,270505,1497857.0,786322.0,711535.0,19.0,3,1,2,2019,0.0,0,9485403,4.4,1259.5647360025
2019-03-25,2.769,5.579248761738098,256004,1428310.0,761448.0,666862.0,20.0,3,1,2,2019,0.0,0,9485403,4.4,1259.5647360025
2019-04-01,2.891,5.765827569476571,265881,1533024.0,825150.0,707874.0,21.0,4,2,2,2019,0.0,0,9485403,3.9,1248.0072286080801
2019-04-08,2.983,5.847714475298688,269763,1577497.0,823032.0,754465.0,22.0,4,2,2,2019,0.0,0,9485403,3.9,1248.0072286080801
2019-04-15,2.977,5.293268101007377,259585,1374053.0,694149.0,679904.0,23.0,4,2,2,2019,0.0,0,9485403,3.9,1248.0072286080801
2019-04-22,3.071,5.859489871263925,249192,1460138.0,767623.0,692515.0,24.0,4,2,2,2019,0.0,0,9485403,3.9,1248.0072286080801
2019-04-29,3.113,5.036486316733962,278625,1403291.0,729815.0,673476.0,25.0,4,2,2,2019,0.0,0,9485403,3.9,1248.0072286080801
2019-05-06,3.154,5.583254461006618,273649,1527852.0,803622.0,724230.0,26.0,5,2,2,2019,0.0,0,9485403,3.5,1248.0072286080801
2019-05-13,3.224,5.804044935054804,256370,1487983.0,783657.0,704326.0,27.0,5,2,2,2019,0.0,0,9485403,3.5,1248.0072286080801
2019-05-20,3.146,5.327317403529424,282029,1502458.0,781061.0,721397.0,28.0,5,2,2,2019,0.0,0,9485403,3.5,1248.0072286080801
2019-05-27,3.142,2.440803025179082,227689,555744.0,298987.0,256757.0,29.0,5,2,2,2019,0.0,0,9485403,3.5,1248.0072286080801
2019-06-03,3.148,5.856424280530578,264014,1546178.0,814607.0,731571.0,30.0,6,2,3,2019,0.0,0,9485403,4.1,1248.0072286080801
2019-06-10,2.969,5.6970136205545865,264233,1505339.0,787528.0,717811.0,31.0,6,2,3,2019,0.0,0,9485403,4.1,1248.0072286080801
2019-06-17,2.844,5.4104103990032515,263256,1424323.0,739714.0,684609.0,32.0,6,2,3,2019,0.0,0,9485403,4.1,1248.0072286080801
2019-06-24,2.931,5.47226809130646,257375,1408425.0,713826.0,694599.0,33.0,6,2,3,2019,0.0,0,9485403,4.1,1248.0072286080801
2019-07-01,3.038,6.105704981815106,236460,1443755.0,751938.0,691817.0,34.0,7,3,3,2019,0.0,0,9485403,4.1,1259.72788309452
2019-07-08,3.076,6.118640165758576,234558,1435176.0,738529.0,696647.0,35.0,7,3,3,2019,0.0,0,9485403,4.1,1259.72788309452
2019-07-15,3.273,5.5711800444289805,261541,1457092.0,733408.0,723684.0,36.0,7,3,3,2019,0.0,0,9485403,4.1,1259.72788309452
2019-07-22,3.093,5.825947853488157,248799,1449490.0,733191.0,716299.0,37.0,7,3,3,2019,0.0,0,9485403,4.1,1259.72788309452
2019-07-29,3.072,5.460658776557821,245455,1340346.0,677033.0,663313.0,38.0,7,3,3,2019,0.0,0,9485403,4.1,1259.72788309452
2019-08-05,2.961,5.3455180210868996,271543,1451538.0,727517.0,724021.0,39.0,8,3,3,2019,0.0,0,9485403,3.8,1259.72788309452
2019-08-12,2.78,5.172356486083499,257536,1332068.0,672626.0,659442.0,40.0,8,3,3,2019,0.0,0,9485403,3.8,1259.72788309452
2019-08-19,2.765,5.540305884736149,246825,1367486.0,697759.0,669727.0,41.0,8,3,3,2019,0.0,0,9485403,3.8,1259.72788309452
2019-08-26,2.801,5.552623910245513,247074,1371909.0,693566.0,678343.0,42.0,8,3,3,2019,0.0,0,9485403,3.8,1259.72788309452
2019-09-02,2.756,3.1427722444894255,223797,703343.0,374967.0,328376.0,43.0,9,3,4,2019,0.0,0,9485403,3.4,1259.72788309452
2019-09-09,2.673,6.58311549679339,237946,1566426.0,829266.0,737160.0,44.0,9,3,4,2019,0.0,0,9485403,3.4,1259.72788309452
2019-09-16,2.744,6.342081218876447,252823,1603424.0,825739.0,777685.0,45.0,9,3,4,2019,0.0,0,9485403,3.4,1259.72788309452
2019-09-23,2.863,6.373066532788257,250974,1599474.0,832762.0,766712.0,46.0,9,3,4,2019,0.0,0,9485403,3.4,1259.72788309452
2019-09-30,2.728,6.547890319708486,242596,1588492.0,850333.0,738159.0,47.0,9,3,4,2019,0.0,0,9485403,3.4,1259.72788309452
2019-10-07,2.809,6.723906008042228,236999,1593559.0,845146.0,748413.0,48.0,10,4,4,2019,0.0,0,9485403,3.4,1253.9109447502099
2019-10-14,2.816,5.231001816467775,260946,1365009.0,666607.0,698402.0,49.0,10,4,4,2019,0.0,0,9485403,3.4,1253.9109447502099
2019-10-21,2.715,5.51740870585757,265844,1466770.0,739027.0,727743.0,50.0,10,4,4,2019,0.0,0,9485403,3.4,1253.9109447502099
2019-10-28,2.67,5.934164642074666,251491,1492389.0,762580.0,729809.0,51.0,10,4,4,2019,0.0,0,9485403,3.4,1253.9109447502099
2019-11-04,2.602,6.432436564972115,248522,1598602.0,848867.0,749735.0,52.0,11,4,4,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-11-11,2.618,4.490372585632328,266167,1195189.0,590714.0,604475.0,53.0,11,4,4,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-11-18,2.681,5.930595261028704,259550,1539286.0,807951.0,731335.0,54.0,11,4,4,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-11-25,2.615,6.402894469674497,239353,1532552.0,810928.0,721624.0,55.0,11,4,4,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-12-02,2.565,5.550606347580321,271379,1506318.0,803894.0,702424.0,56.0,12,4,1,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-12-09,2.635,5.674108566444985,260283,1476874.0,786431.0,690443.0,57.0,12,4,1,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-12-16,2.605,5.318061687468492,261836,1392460.0,743694.0,648766.0,58.0,12,4,1,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-12-23,2.604,4.736855890321555,232899,1103209.0,601685.0,501524.0,59.0,12,4,1,2019,0.0,0,9485403,3.2,1253.9109447502099
2019-12-30,2.611,4.005617209442224,255999,1025434.0,544713.0,480721.0,60.0,12,4,1,2019,0.0,0,9485403,3.2,1253.9109447502099
2020-01-06,2.644,6.378896122992837,221021,1409870.0,750349.0,659521.0,61.0,1,1,1,2020,0.0,0,9454282,3.9,1284.27888977593
2020-01-13,2.695,5.806988274179586,254140,1475788.0,775861.0,699927.0,62.0,1,1,1,2020,0.0,0,9454282,3.9,1284.27888977593
2020-01-20,2.605,3.7858482283649133,234642,888319.0,477995.0,410324.0,63.0,1,1,1,2020,0.0,0,9454282,3.9,1284.27888977593
2020-01-27,2.634,6.141879085439627,242171,1487385.0,790014.0,697371.0,64.0,1,1,1,2020,0.0,0,9454282,3.9,1284.27888977593
2020-02-03,2.552,6.355040873084536,236953,1505846.0,816538.0,689308.0,65.0,2,1,1,2020,0.0,0,9454282,3.8,1284.27888977593
2020-02-10,2.501,6.069497708732816,246152,1494019.0,799851.0,694168.0,66.0,2,1,1,2020,0.0,0,9454282,3.8,1284.27888977593
