Week_Start_Date,Ratio,Gas_Price,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Quarter,Cases,Lockdown,Population,Unemployment_Rate,No_Vehicle_Pct,Weekly_Inc,ln_Ratio,ln_TNP_Trips,ln_Transit_Ridership,ln_Bus_Rides,ln_Rail_Boardings,February,March,April,May,June,July,August,September,October,November,December,Spring,Summer,Fall,Year_2019,Year_2020,Year_2021,Month,Season,Year
2018-11-05,6.632968640203945,2.753,244772,1623565.0,853379.0,770186.0,0.0,4,0.0,0,9513947,3.6,26.9,1235.89650782703,1.892052462687217,12.408082443993555,14.300134906680771,13.656959041980725,13.554387323100881,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,4,2018
2018-11-12,5.076967061349598,2.659,257084,1305207.0,652992.0,652215.0,1.0,4,0.0,0,9513947,3.6,26.9,1235.89650782703,1.6247140481265232,12.457158158723132,14.081872206849654,13.389320157034977,13.388129541152917,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,4,2018
2018-11-19,6.2513441295546555,2.513,247000,1544082.0,803920.0,740162.0,2.0,4,0.0,0,9513947,3.6,26.9,1235.89650782703,1.8327965013548115,12.417143615610113,14.249940116964925,13.59725504072284,13.514624360140022,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,4,2018
2018-11-26,5.571163169107409,2.426,238452,1328455.0,681371.0,647084.0,3.0,4,0.0,0,9513947,3.6,26.9,1235.89650782703,1.7176038596256331,12.381923311193816,14.09952717081945,13.43186222386687,13.380231395040399,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,4,2018
2018-12-03,6.233508734835217,2.301,250663,1562510.0,831431.0,731079.0,4.0,4,0.0,0,9513947,4.0,26.9,1235.89650782703,1.8299393740749064,12.431864686497308,14.261804060572214,13.63090359161024,13.502276804028082,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2018
2018-12-10,5.963749116074337,2.361,251718,1501183.0,794682.0,706501.0,5.0,4,0.0,0,9513947,4.0,26.9,1235.89650782703,1.7856993296317507,12.436064692273218,14.221764021904969,13.58569731361513,13.468079896533885,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2018
2018-12-17,5.7762278729535455,2.265,252632,1459260.0,791252.0,668008.0,6.0,4,0.0,0,9513947,4.0,26.9,1235.89650782703,1.7537508525009609,12.439689163376956,14.193440015877918,13.581371780083458,13.412055428494975,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2018
2018-12-24,4.256296251364795,2.219,164860,701693.0,422369.0,279324.0,7.0,4,0.0,0,9513947,4.0,26.9,1235.89650782703,1.448399357550281,12.01285190786722,13.461251265417499,12.953634618529485,12.540127677350059,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2018
2018-12-31,7.749516352752226,2.125,109584,849223.0,463165.0,386058.0,8.0,4,0.0,0,9513947,4.0,26.9,1235.89650782703,2.047630435321427,11.604446657437686,13.652077092759114,13.045838641073415,12.863742896226562,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2018
2019-01-07,5.9308710783495355,2.118,233607,1385493.0,723023.0,662470.0,9.0,1,0.0,0,9485403,5.1,27.8,1259.5647360025,1.780171095704058,12.36139549524067,14.141566590944727,13.491196312529796,13.40373055279834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2019
